"","Student_ID","Semster_Name","Paper 1","Paper 2","Paper 3","Paper 4","Paper 5","Paper 6","Paper 7"
"1","SID20131143","Sem_1",44,74,80,44,95,61,90
"2","SID20131143","Sem_2",92,57,91,84,80,66,54
"3","SID20131143","Sem_3",76,83,41,80,69,73,66
"5","SID20131143","Sem_5",92,44,69,60,97,22,86
"6","SID20131143","Sem_6",98,84,46,76,54,46,42
"7","SID20131143","Sem_7",94,53,54,88,86,55,81
"8","SID20131143","Sem_8",58,64,42,98,62,51,94
"9","SID20131151","Sem_1",78,91,83,70,74,73,83
"10","SID20131151","Sem_2",69,40,88,85,62,52,95
"12","SID20131151","Sem_4",63,74,61,59,91,96,43
"13","SID20131151","Sem_5",88,43,63,76,62,49,100
"14","SID20131151","Sem_6",72,57,87,92,53,75,54
"15","SID20131151","Sem_7",63,45,98,54,85,59,87
"16","SID20131151","Sem_8",84,47,42,84,74,86,83
"18","SID20131171","Sem_2",75,83,60,83,49,92,64
"19","SID20131171","Sem_3",83,68,98,87,68,55,76
"20","SID20131171","Sem_4",78,63,76,62,64,92,99
"21","SID20131171","Sem_5",86,69,83,23,71,82,40
"23","SID20131171","Sem_7",93,64,42,98,81,96,48
"24","SID20131171","Sem_8",90,59,83,20,86,48,58
"25","SID20131176","Sem_1",92,93,46,71,53,48,98
"26","SID20131176","Sem_2",57,87,99,98,50,46,50
"27","SID20131176","Sem_3",89,73,53,50,70,89,91
"28","SID20131176","Sem_4",83,55,100,51,54,72,67
"29","SID20131176","Sem_5",52,56,93,100,99,42,77
"30","SID20131176","Sem_6",71,50,45,80,77,94,89
"31","SID20131176","Sem_7",58,53,83,46,83,43,80
"32","SID20131176","Sem_8",68,82,44,88,92,86,55
"33","SID20131177","Sem_1",89,57,57,72,80,58,86
"36","SID20131177","Sem_4",80,50,75,63,86,56,80
"38","SID20131177","Sem_6",100,55,91,62,29,72,91
"39","SID20131177","Sem_7",77,97,73,79,86,85,72
"41","SID20131184","Sem_1",61,93,95,19,72,59,61
"42","SID20131184","Sem_2",85,70,59,58,59,47,59
"43","SID20131184","Sem_3",75,67,71,58,77,65,90
"44","SID20131184","Sem_4",56,89,49,73,45,99,77
"46","SID20131184","Sem_6",63,54,53,60,88,61,40
"47","SID20131184","Sem_7",63,74,80,56,92,68,47
"48","SID20131184","Sem_8",62,69,60,63,90,43,46
"49","SID20131189","Sem_1",96,72,89,49,77,45,97
"50","SID20131189","Sem_2",96,57,49,41,51,47,40
"51","SID20131189","Sem_3",44,45,40,85,94,47,73
